name,courses
Jan Ondrus,Managing IT in the Digital Age
Nicolas Prat,Management de l'IT à l'ère numérique
Stefan Linder,Managing Plans and Projects
Anca Metiu,Organization Theory & Behaviour
Aurélien Colson,Atelier de négociation
Kazuhiro Asakawa,International Strategy & Management
Philippe Cohen,Publicité
Marwan Sinaceur,Negotiation Workshop
Fabrice Cavarretta,Entrepreneuriat
Raymond-Alain Thietart,Stratégie et management
Junko Takagi,Intercultural Management
Denis Morisset,International Luxury Distribution
Terry Rocves,Organization Theory & Behaviour
Anne-Sophie Barthez,Droit des contrats
Frédéric Jenny,Business Economics
Peter O'Connor,e-business Strategy&Operations
Johannes WETZEL,Le cinéma allemand - niveau B/C
Viviane de Beaufort,Droit & politiques de l'Europe
Delphine Dion,Luxury Retail Management
Elisa Operti,Corporate Strategy
Michel Baroni,Finance immobilière
Nicolas Glady,Marketing management (en français)
Xavier Pavie,Innovation Process Management
Olivier Fourcadet,Competitive Strategy
Simon Nyeck,Anthropologie marques de luxe
Cosima Ouhioun,Droit des médias
Patrice Poncet,Fondements de la finance
Jean-François Galloüin,Capital investissement
Luce CANALS,Espagnol intermédiaire - niveau D
Brigitte OEHLER,Français débutant suite de la FTS - niveau D
Karoline Strauss,Organization Theory & Behaviour
Patrice Poncet,Options
Albert Bemmaor,Marketing Management (in English)
Séverine Lebrun-Kuan,Negotiation Workshop
Laurence Verdickt,Consumer Behavior
Anne Placet,International Marketing
Morgane Lombard,Mise en scène du comportement
Maria BLANCO,L'Espagne et ses particularités - niveau C/D
Charles Cho,Sustainability Performance
Samy Bellady,Options
Michel VERNEUIL,Français débutant suite de la FTS - niveau D
Jean-Luc Cerdin,Profils personnels et carrière
Fabrice Cavarretta,Théorie & comportement organi.
Eric Plantier,Excel avancé pour managers
Marc Guyot,Economie managériale
Gilles Van Wijk,Strategy and Management
Sridhar Arcot,Corporate Financial Management
Laurent Bibard,Philosophy and Trade
Stéphanie Villot,Chef de produit
Pascale GUILLIER,Communication et culture (1) - Niveau B
Brigitte OEHLER,Communication et culture (1) - Niveau B
Jocelyn Martel,Principles of Finance
Niek Althuizen,Marketing Research
John MELLOR,Advanced Business English - niveau A/B
Thierry Louis,Gestion de projet
Sridhar Arcot,Mergers and Acquisitions
Imen Benharda,Atelier de négociation
Fabrice Cavarretta,Entrepreneurship
Stefan Linder,Strategic Cost Management
Estefania Santacreu-Vasut,Macroeconomic Theory & Development
Emmanuelle Le Nagard,Création de produit innovant 1
Hamid Bouchikhi,Concevoir un projet d'entreprise
Simon Nyeck,Anthropology of Luxury Brands
Nicolas Glady,Big Data Analytics
Albert Bemmaor,Product Management
Patrick Legland,Financial Markets
Chrystelle Richard,Info comptables et financières
Gérard Despinoy,Evaluation stratégique et fin.
Maria BLANCO,Communication orale avancée - niveau B/C
Gilles Van Wijk,Management of Organizations
Luc Paugam,Finl Accounting & Reporting
Xavier Pavie,Services Management & Mkg
Laurent Bibard,Business Ethics
Christophe Harrer,Advanced Excel for Managers
Jan Ondrus,E-Business Entrepreneurship
Paul André,Financial Statement Analysis
Jan Lepoutre,New venture design & planning
Askom Som,International Strategy & Management
Carmen GOMEZ DE LA TORRE,Introduction à l'Amérique Latine - niveau B/C
André Fourçans,Monnaie et banque
Jean-Yves FENG,Chinois Langue et Culture (1) - niveau C
Julien Malaurent,Managing IT in the Digital Age
Ashok Som,Global Strategy & Luxury Business
Cristina Terra,Finance internationale
Fabrice Cavaretta,"Séminaire Management : ""Regarder l’Echec en face"""
Général Moreau,Les fondements de la stratégie
Frédérick Dulles,Doing Business
Sofia Ramos,Portfolio & Investment
Nathalie Ramanantsoa,Lux. Retail Excel. & Merchand
Olivier Fourcadet,New Business Dvpt-Agri-food Sect.
Christian Bito,Gestion financière court terme
Pietro de Giovanni,Management of International Operations
Thanh-Tê Hua,Langage C
Cabinets de conseil,Pratique conseil en stratégie
Sofia Ramos,International Finance
Francis Declerck,Agri-food Commodity Markets
Alexis de La Tour Du Pin,Digital Marketing Strategy
Nicolas Silberman,Management de l'IT à l'ère numérique
Valery Yakubovich,Mging.Social Relion & Networks
Gulcum Alici,Management Control
Olivier Fourcadet,Stratégie et management
Maria BLANCO,Cinéma et Société - niveau B/C
Florence Cavélius,Contrôle de gestion
James FOGARTY,Negotiating in English (1) - niveau B/C
Estefania Santacreu-Vasut,"Department seminar in ECO on the theme: ""Nobel Ideas in Economics"""
Hélène Cloez,Droit urbanisme & immobilier
Philippe Bourrat,B2B Marketing
Brigitte OEHLER,Civilisation française (1) - niveau C/D
Michel Goetschmann,Stratégie de l'Industrie du Voyage